SCG1	SCG2	SCG3	SCG4	InstI1	InstI2	InstI3	InstI4	TI1	TI2	TI3	TI4	SS1	SS2	SS3	SS4	CR1	CR2	CR3	CR4	SDM1	SDM2	SDM3	SDM4	GEN	AGE	EDU	Level	Year
1	2	4	1	5	1	5	2	2	2	5	1	5	5	4	5	5	1	3	1	5	5	4	5	1	1	1	1	1950
4	2	1	4	2	1	2	2	1	2	2	3	1	2	1	2	1	1	1	1	1	2	1	2	1	2	1	2	1951
3	5	5	2	5	3	5	2	3	4	5	3	5	5	5	5	5	5	5	5	5	5	5	5	1	1	2	3	1952
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	0	1	2	4	1953
4	3	5	4	4	5	4	4	5	4	4	3	4	4	3	4	5	3	3	3	4	4	3	4	1	2	1	5	1954
3	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	1	1	1	6	1955
3	4	2	4	4	4	4	4	3	4	4	3	5	4	3	5	3	4	4	3	5	4	3	5	0	1	1	7	1956
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	1	2	1	8	1957
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	1	2	2	9	1958
3	4	3	4	2	4	2	3	2	4	2	2	2	2	2	2	3	2	3	2	2	2	2	2	0	2	2	10	1959
1	3	4	2	3	3	3	1	2	5	5	4	2	5	3	5	2	5	4	4	2	5	3	5	1	1	1	11	1960
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	1	1	1	12	1961
3	4	3	3	5	4	5	3	2	3	2	3	2	2	2	1	3	3	2	2	2	2	2	1	0	1	2	13	1962
3	4	3	4	4	3	4	3	4	4	4	4	4	4	3	4	5	4	4	4	4	4	3	4	0	1	1	14	1963
2	3	4	3	4	3	4	2	5	5	4	3	3	4	3	4	4	3	4	2	3	4	3	4	1	2	2	15	1964
3	3	3	2	4	4	4	2	3	2	4	4	2	4	2	3	2	5	4	5	2	4	2	3	1	1	1	16	1965
3	2	3	4	4	3	4	4	4	3	3	3	4	3	4	4	3	3	4	3	4	3	4	4	1	1	1	17	1966
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	1	1	2	18	1967
3	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	0	2	1	19	1968
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	0	2	2	20	1969
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	1	2	1	21	1970
2	3	4	3	4	3	4	2	5	5	4	3	3	4	3	4	4	3	4	2	3	4	3	4	1	1	1	22	1971
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	1	2	2	23	1972
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	1	1	1	24	1973
4	2	1	4	2	1	2	2	1	2	2	3	1	2	1	2	1	1	1	1	1	2	1	2	1	2	2	25	1974
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	0	2	1	26	1975
3	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	0	2	2	27	1976
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	0	1	1	28	1977
3	4	3	4	2	4	2	3	2	4	2	2	2	2	2	2	3	2	3	2	2	2	2	2	1	1	1	29	1978
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	1	2	1	30	1979
3	4	3	4	4	3	4	3	4	4	4	4	4	4	3	4	5	4	4	4	4	4	3	4	1	1	1	31	1980
3	3	3	2	4	4	4	2	3	2	4	4	2	4	2	3	2	5	4	5	2	4	2	3	0	1	1	32	1981
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	1	2	1	33	1982
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	1	2	2	34	1983
2	3	4	3	4	3	4	2	5	5	4	3	3	4	3	4	4	3	4	2	3	4	3	4	0	2	2	35	1984
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	1	1	1	36	1985
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	1	1	1	37	1986
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	1	1	1	38	1987
3	5	5	2	5	3	5	2	3	4	5	3	5	5	5	5	5	5	5	5	5	5	5	5	1	2	2	39	1988
3	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	0	2	1	40	1989
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	0	2	2	41	1990
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	0	1	1	42	1991
2	3	4	3	4	3	4	2	5	5	4	3	3	4	3	4	4	3	4	2	3	4	3	4	1	1	1	43	1992
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	1	1	1	44	1993
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	1	2	1	45	1994
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	1	1	2	46	1995
3	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	0	1	2	47	1996
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	1	2	1	48	1997
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	1	1	1	49	1998
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	0	1	1	50	1999
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	1	2	1	51	2000
1	2	4	1	5	1	5	2	2	2	5	1	5	5	4	5	5	1	3	1	5	5	4	5	1	1	1	52	2001
4	3	5	4	4	5	4	4	5	4	4	3	4	4	3	4	5	3	3	3	4	4	3	4	1	2	1	53	2002
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	1	1	2	54	2003
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	0	1	2	55	2004
2	3	4	3	4	3	4	2	5	5	4	3	3	4	3	4	4	3	4	2	3	4	3	4	1	2	1	56	2005
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	1	1	1	57	2006
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	0	1	1	58	2007
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	1	2	1	59	2008
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	1	2	2	60	2009
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	0	2	2	61	2010
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	1	1	1	62	2011
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	1	1	1	63	2012
3	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	0	1	2	64	2013
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	0	1	1	65	2014
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	1	2	2	66	2015
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	1	1	1	67	2016
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	1	1	1	68	2017
4	2	1	4	2	1	2	2	1	2	2	3	1	2	1	2	1	1	1	1	1	2	1	2	1	1	2	69	2018
4	3	5	4	4	5	4	4	5	4	4	3	4	4	3	4	5	3	3	3	4	4	3	4	0	2	1	70	2019
3	4	2	4	4	4	4	4	3	4	4	3	5	4	3	5	3	4	4	3	5	4	3	5	0	2	2	71	2020
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	1	2	1	72	2021
1	3	4	2	3	3	3	1	2	5	5	4	2	5	3	5	2	5	4	4	2	5	3	5	1	1	1	73	2022
3	4	3	3	5	4	5	3	2	3	2	3	2	2	2	1	3	3	2	2	2	2	2	1	1	2	2	74	2023
3	3	3	2	4	4	4	2	3	2	4	4	2	4	2	3	2	5	4	5	2	4	2	3	1	1	1	75	2024
5	5	2	1	4	4	4	5	5	5	4	5	5	4	5	5	5	5	5	5	5	4	5	5	1	2	2	76	2025
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	0	2	1	77	2026
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	0	2	2	78	2027
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	0	1	1	79	2028
3	3	3	2	4	4	4	2	3	2	4	4	2	4	2	3	2	5	4	5	2	4	2	3	1	1	1	80	2029
2	3	4	3	4	3	4	2	5	5	4	3	3	4	3	4	4	3	4	2	3	4	3	4	1	2	1	81	2030
5	4	4	4	5	4	5	3	5	5	4	4	5	4	5	4	3	2	3	4	5	4	5	4	1	1	1	82	2031
2	3	4	3	4	3	4	2	5	5	4	3	3	4	3	4	4	3	4	2	3	4	3	4	0	1	1	83	2032
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	1	2	1	84	2033
1	2	3	1	4	3	4	3	4	4	3	4	1	3	1	2	4	4	4	4	1	3	1	2	1	2	2	85	2034
4	3	5	4	4	5	4	4	5	4	4	3	4	4	3	4	5	3	3	3	4	4	3	4	0	2	2	86	2035
2	3	4	3	4	3	4	2	5	5	4	3	3	4	3	4	4	3	4	2	3	4	3	4	1	1	1	87	2036
