pid,s1_dwgt,s1_best_age_yrs,s1_age_intervals,s1_best_dob_m,s1_best_dob_y,s1_best_race,s1_best_gen,s1_empl,s1_locklevnat,s1_geo2011,s1_dc2011,s1_mdbdc2011,s1_prov2011,s1_intrv_c,s1_intrv_gen,s1_intrv_race,s1_intrv_dob_y,s1_intrv_lng1,s1_intrv_lng2,s1_intrv_lng3,s1_intrv_lng4,s1_intrv_lng5,s1_intrv_edu,s1_intrv_position,s1_intrv_years_exp_oth
"100057,372.1137329872369,55,3,5,1966,1,2,0,1,1,637,""DC37"",6,860,1,1,1995,6,11,,,,12,2,0"
"100104,8054.012100068915,42,2,7,1979,1,1,1,1,3,637,""DC37"",6,881,1,1,1987,2,11,3,,,26,2,0"
"100152,2289.868036514404,50,3,12,1971,1,2,-9,1,2,640,""DC40"",6,848,2,1,1995,4,11,,,,12,2,0"
"100198,5860.406664168729,31,1,4,1990,1,1,1,1,2,599,""ETH"",5,856,2,1,1986,3,11,5,9,,12,2,0"
"100217,144.5351416457019,64,4,8,1957,2,2,0,1,1,212,""DC12"",2,815,2,1,1984,3,11,6,,,12,2,0"
"100222,6583.585280169884,36,2,7,1985,1,1,1,1,1,555,""DC25"",5,848,2,1,1995,4,11,,,,12,2,0"
"100239,2811.266961823875,58,3,1,1963,1,1,0,1,-9,-9,""-9"",9,802,2,1,2001,6,4,11,,,12,2,0"
"100344,6094.608415897959,36,2,11,1985,4,1,1,1,2,199,""CPT"",1,855,2,1,1987,6,4,11,,,12,2,5"
"100352,595.2375658047623,31,1,12,1990,1,1,1,1,1,947,""DC47"",9,839,2,1,1979,6,11,,,,12,2,0"
"100407,7763.076235146419,-8,-8,-8,-8,-8,1,-8,1,-9,-9,""-9"",3,875,1,1,1997,4,11,6,3,,12,2,0"
"100409,632.7452875202199,30,1,3,1991,1,2,1,1,-9,-9,""-9"",1,847,2,1,1987,11,6,3,,,26,2,0"
"100432,803.7147800221765,29,1,12,1992,2,2,1,1,2,307,""DC7"",3,809,1,2,1983,10,11,,,,12,2,2"
"100457,1327.380322098044,-8,-8,-8,-8,4,2,0,1,-9,-9,""-9"",7,824,2,2,1973,10,11,,,,12,2,10"
"100469,2997.282828509869,19,1,9,2002,1,1,0,1,1,599,""ETH"",5,818,2,1,1986,5,4,11,,,12,2,2"
"100495,8826.886063182414,27,1,5,1994,1,1,1,1,2,210,""DC10"",2,805,2,1,1991,6,4,11,,,25,2,5"
"100498,4768.56346645089,44,2,-8,1977,1,2,1,1,1,554,""DC24"",5,857,2,1,1987,2,5,11,,,29,2,5"
